335982,Multan,2017-05-06,Multan Stadium,0,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,runs,140,N,NA,Asad Rauf,RE Koertzen
335983,Peshawar,2017-04-23,Peshawar Stadium,0,Kings XI Punjab,Multan Sultans,Multan Sultans,bat,Multan Sultans,runs,33,N,NA,MR Benson,SL Shastri
335984,Karachi,2017-04-23,Karachi Stadium,0,Karachi Kings,Rajasthan Royals,Rajasthan Royals,bat,Karachi Kings,wickets,9,N,NA,Aleem Dar,GA Pratapkumar
335985,Islamabad,2017-04-09,Islamabad Stadium,0,Islamabad United,Peshawar Zalmi,Islamabad United,bat,Peshawar Zalmi,wickets,5,N,NA,SJ Davis,DJ Harper
335986,Rawalpindi,2017-04-10,Rawalpindi Stadium,0,Quetta Gladiators,Deccan Chargers,Deccan Chargers,bat,Quetta Gladiators,wickets,5,N,NA,BF Bowden,K Hariharan
335987,Peshawar,2016-05-21,Peshawar Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,N,NA,Aleem Dar,RB Tiffin
335988,Lahore,2016-05-08,Lahore Stadium,0,Deccan Chargers,Karachi Kings,Deccan Chargers,bat,Karachi Kings,wickets,9,N,NA,IL Howell,AM Saheba
335989,Quetta,2016-04-24,Quetta Stadium,0,Multan Sultans,Islamabad United,Islamabad United,field,Multan Sultans,runs,6,N,NA,DJ Harper,GA Pratapkumar
335990,Lahore,2016-04-13,Lahore Stadium,0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,NA,Asad Rauf,MR Benson
335991,Peshawar,2015-05-14,Peshawar Stadium,0,Kings XI Punjab,Islamabad United,Islamabad United,field,Kings XI Punjab,runs,66,N,NA,Aleem Dar,AM Saheba
335992,Multan,2015-05-03,Multan Stadium,0,Peshawar Zalmi,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,NA,MR Benson,IL Howell
335993,Quetta,2015-05-04,Quetta Stadium,0,Multan Sultans,Quetta Gladiators,Quetta Gladiators,bat,Multan Sultans,wickets,9,N,NA,BF Bowden,AV Jayaprakash
335994,Islamabad,2015-04-23,Islamabad Stadium,0,Islamabad United,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10,N,NA,Asad Rauf,SL Shastri
335995,Peshawar,2015-04-24,Peshawar Stadium,0,Kings XI Punjab,Karachi Kings,Karachi Kings,bat,Kings XI Punjab,wickets,4,N,NA,RE Koertzen,I Shivram
335996,Multan,2015-04-12,Multan Stadium,0,Peshawar Zalmi,Multan Sultans,Multan Sultans,bat,Multan Sultans,runs,13,N,NA,BR Doctrove,RB Tiffin
335997,Rawalpindi,2014-05-23,Rawalpindi Stadium,0,Quetta Gladiators,Islamabad United,Quetta Gladiators,bat,Islamabad United,wickets,7,N,NA,BF Bowden,AV Jayaprakash
335998,Karachi,2014-05-09,Karachi Stadium,0,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,runs,10,N,NA,Aleem Dar,I Shivram
335999,Lahore,2013-04-29,Lahore Stadium,0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,7,N,NA,BR Doctrove,RB Tiffin
336000,Peshawar,2013-04-30,Peshawar Stadium,0,Rajasthan Royals,Quetta Gladiators,Rajasthan Royals,bat,Rajasthan Royals,runs,45,N,NA,RE Koertzen,GA Pratapkumar
336001,Quetta,2011-04-29,Quetta Stadium,0,Multan Sultans,Karachi Kings,Multan Sultans,bat,Karachi Kings,wickets,8,N,NA,BF Bowden,K Hariharan
336002,Lahore,2010-03-31,Lahore Stadium,0,Deccan Chargers,Peshawar Zalmi,Deccan Chargers,bat,Peshawar Zalmi,wickets,5,N,NA,Asad Rauf,RE Koertzen
336003,Peshawar,2010-03-16,Peshawar Stadium,0,Kings XI Punjab,Quetta Gladiators,Kings XI Punjab,bat,Kings XI Punjab,runs,9,N,NA,DJ Harper,I Shivram
336004,Islamabad,2009-05-17,Islamabad Stadium,0,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,runs,29,N,NA,IL Howell,RE Koertzen
336005,Peshawar,2009-05-17,Peshawar Stadium,0,Rajasthan Royals,Multan Sultans,Multan Sultans,bat,Rajasthan Royals,wickets,8,N,NA,Asad Rauf,AV Jayaprakash
336006,Multan,2009-05-08,Multan Stadium,0,Peshawar Zalmi,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6,N,NA,SJ Davis,BR Doctrove
336007,Quetta,2009-04-27,Quetta Stadium,0,Multan Sultans,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,7,N,NA,MR Benson,RB Tiffin
336008,Islamabad,2009-04-18,Islamabad Stadium,0,Islamabad United,Rajasthan Royals,Islamabad United,field,Islamabad United,wickets,7,N,NA,DJ Harper,RE Koertzen
336009,Karachi,2008-05-17,Karachi Stadium,0,Karachi Kings,Multan Sultans,Multan Sultans,field,Multan Sultans,wickets,4,N,NA,Aleem Dar,RB Tiffin
